country,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,date
IN,30.78,78.62,30.11,78.0,0.0,2.71,2019-03-06 00:02:30
US,21.35,-158.09,78.8,44.0,75.0,10.29,2019-03-06 00:01:18
CA,55.74,-97.86,5.0,60.0,75.0,9.17,2019-03-05 23:00:00
BR,-30.17,-50.22,75.96,83.0,76.0,3.71,2019-03-06 00:02:31
PG,-2.67,141.3,81.36,100.0,80.0,10.54,2019-03-06 00:02:31
,,,,,,,
RU,69.38,178.42,10.71,98.0,88.0,15.01,2019-03-06 00:02:32
,,,,,,,
AR,-40.81,-62.99,67.23,26.0,8.0,10.2,2019-03-06 00:02:32
RU,68.75,161.3,0.0,75.0,88.0,2.93,2019-03-06 00:02:32
CN,24.68,116.14,60.57,97.0,44.0,2.82,2019-03-06 00:02:33
CO,4.71,-75.1,77.0,83.0,40.0,4.7,2019-03-05 23:00:00
NO,63.6,8.98,21.99,72.0,0.0,10.29,2019-03-05 23:58:21
ID,0.54,123.06,79.29,74.0,24.0,2.37,2019-03-06 00:00:50
CA,70.47,-68.59,-5.81,83.0,75.0,4.94,2019-03-05 23:00:00
RU,51.16,94.47,5.31,63.0,24.0,2.15,2019-03-06 00:02:34
ZM,-8.47,29.66,62.51,98.0,64.0,2.15,2019-03-06 00:02:34
EC,-0.74,-90.35,84.2,66.0,20.0,10.29,2019-03-05 23:00:00
RU,52.97,43.41,34.2,93.0,92.0,16.8,2019-03-06 00:02:35
US,38.25,-85.76,26.6,58.0,40.0,10.29,2019-03-05 23:59:33
KZ,52.04,76.93,19.4,92.0,90.0,6.71,2019-03-05 23:30:00
ZA,-34.23,19.43,69.01,80.0,0.0,10.0,2019-03-05 23:46:45
EG,28.42,30.79,47.75,95.0,0.0,7.18,2019-03-06 00:02:36
NZ,-35.17,173.16,72.68,68.0,0.0,0.36,2019-03-06 00:02:36
MX,27.97,-114.04,69.57,56.0,68.0,6.73,2019-03-06 00:02:36
EG,24.09,32.9,59.0,28.0,0.0,11.41,2019-03-05 23:00:00
RU,71.64,128.87,3.2,72.0,48.0,9.75,2019-03-05 23:57:47
,,,,,,,
ES,37.18,-5.78,59.0,93.0,75.0,4.7,2019-03-06 00:00:17
BR,-22.97,-42.02,80.64,92.0,64.0,13.67,2019-03-05 23:58:24
,,,,,,,
RS,42.44,22.31,44.01,84.0,0.0,1.7,2019-03-05 23:58:03
MX,25.92,-109.18,81.0,41.0,90.0,13.87,2019-03-05 23:58:17
YE,14.4,46.47,56.34,96.0,36.0,2.82,2019-03-06 00:02:38
EG,31.4,30.42,51.8,81.0,0.0,4.38,2019-03-05 23:00:00
AU,-33.21,138.6,57.78,84.0,8.0,13.0,2019-03-06 00:02:38
NG,9.98,10.93,74.66,29.0,0.0,7.63,2019-03-06 00:02:39
GL,77.48,-69.36,-9.5,82.0,36.0,5.17,2019-03-06 00:02:39
RO,47.3,27.08,43.0,48.0,0.0,4.7,2019-03-05 23:57:28
ID,-0.91,122.88,81.95,89.0,12.0,2.37,2019-03-06 00:02:39
AO,-8.19,15.37,64.62,97.0,68.0,2.82,2019-03-06 00:02:40
PT,40.36,-7.35,57.99,70.0,92.0,15.01,2019-03-06 00:02:13
,,,,,,,
RU,50.68,156.12,23.67,100.0,36.0,15.01,2019-03-06 00:02:40
AU,-16.92,145.77,87.01,74.0,40.0,12.75,2019-03-06 00:00:16
CA,47.66,-52.73,28.0,73.0,90.0,21.92,2019-03-05 23:53:27
SV,13.7,-89.56,87.8,78.0,0.0,5.82,2019-03-06 00:00:44
PK,25.05,61.74,56.97,93.0,0.0,4.94,2019-03-06 00:02:41
RU,53.13,132.9,8.91,65.0,20.0,3.38,2019-03-06 00:02:42
,,,,,,,
AU,-26.53,153.09,82.0,77.0,92.0,5.39,2019-03-06 00:01:11
NZ,-42.52,172.83,77.0,39.0,0.0,2.71,2019-03-06 00:02:42
CA,50.7,-127.42,39.2,41.0,20.0,4.7,2019-03-05 23:00:00
RU,50.72,136.64,16.83,69.0,56.0,3.71,2019-03-06 00:02:42
NA,-24.14,19.11,79.56,32.0,88.0,9.42,2019-03-06 00:02:43
US,41.28,-70.1,28.0,62.0,40.0,8.05,2019-03-06 00:00:37
BR,-20.63,-46.0,71.06,85.0,48.0,3.71,2019-03-06 00:02:43
AU,-20.01,148.25,82.99,88.0,75.0,11.41,2019-03-05 23:57:44
ID,4.14,96.13,78.84,100.0,8.0,5.17,2019-03-06 00:02:43
MR,20.93,-17.03,64.4,82.0,0.0,14.99,2019-03-05 23:00:00
ES,43.49,-6.11,66.0,38.0,12.0,11.99,2019-03-06 00:02:10
RU,59.06,80.87,18.95,73.0,64.0,5.73,2019-03-06 00:02:44
MK,41.28,20.71,31.59,93.0,36.0,2.37,2019-03-06 00:02:44
US,60.79,-161.76,35.6,93.0,75.0,10.29,2019-03-05 23:53:00
FR,49.65,0.71,50.0,87.0,0.0,14.99,2019-03-05 23:58:44
LK,6.48,79.98,80.78,100.0,8.0,2.04,2019-03-06 00:02:45
FI,60.8,21.41,5.0,84.0,0.0,3.36,2019-03-05 23:50:00
CA,50.56,-96.99,10.99,69.0,80.0,4.0,2019-03-06 00:00:05
NZ,-43.63,171.65,84.0,50.0,0.0,3.38,2019-03-06 00:01:56
CA,63.59,-135.9,10.4,46.0,5.0,5.82,2019-03-05 23:00:00
RU,59.7,30.79,15.01,78.0,20.0,15.66,2019-03-06 00:00:34
RU,69.49,88.39,9.81,79.0,76.0,12.77,2019-03-06 00:02:47
CN,24.19,102.82,51.84,99.0,92.0,2.82,2019-03-06 00:02:47
,,,,,,,
IN,11.67,92.75,80.6,100.0,88.0,5.61,2019-03-05 23:57:59
HR,45.29,18.06,39.2,93.0,0.0,9.17,2019-03-05 23:30:00
NO,69.23,17.98,24.8,92.0,90.0,43.62,2019-03-06 00:02:44
,,,,,,,
SA,18.39,42.45,57.2,87.0,40.0,8.05,2019-03-05 23:00:00
IN,15.34,74.49,54.36,86.0,8.0,1.81,2019-03-06 00:02:48
